path,alpha_min,n_transparent_px,max_abs_diff_vs_composite
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_22.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_23.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_24.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_3.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_4.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_5.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_6.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_7.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_8.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\29\original_29_9.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_1.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_10.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_11.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_12.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_13.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_14.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_15.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_16.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_17.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_18.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_19.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_2.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_20.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_21.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_22.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_23.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_24.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_3.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_4.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_5.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_6.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_7.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_8.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\forgeries_39_9.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_1.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_10.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_11.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_12.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_13.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_14.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_15.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_16.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_17.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_18.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_19.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_2.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_20.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_21.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_22.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_23.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_24.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_3.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_4.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_5.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_6.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_7.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_8.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\39\original_39_9.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_1.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_10.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_11.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_12.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_13.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_14.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_15.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_16.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_17.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_18.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_19.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_2.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_20.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_21.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_22.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_23.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_24.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_3.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_4.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_5.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_6.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_7.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_8.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\forgeries_55_9.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_1.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_10.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_11.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_12.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_13.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_14.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_15.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_16.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_17.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_18.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_19.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_2.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_20.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_21.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_22.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_23.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_24.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_3.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_4.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_5.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_6.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_7.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_8.png,255,0,0
c:\Users\nehas\Downloads\robust-signature-verification\data\raw\CEDAR\55\original_55_9.png,255,0,0
