writer_id,inst_path,gpds_path,shape_inst,shape_gpds,mad,frac_diff_gt10,ncc,verdict
1715,signature_verification/full_org/original_1715_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1715/c-1715-19.jpg,220x155,1155x1004,0.6527,0.0216,0.9892,distinct
383,signature_verification/full_forg/forgeries_383_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/383/cf-383-27.jpg,220x155,1013x399,0.2478,0.0003,0.9985,same image (re-encoded)
217,signature_verification/full_org/original_217_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/217/c-217-11.jpg,220x155,986x555,0.3651,0.0025,0.9966,same image (re-encoded)
894,signature_verification/full_org/original_894_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/894/c-894-15.jpg,220x155,785x623,1.2519,0.0457,0.997,distinct
1792,signature_verification/full_org/original_1792_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1792/c-1792-07.jpg,220x155,786x552,1.0342,0.0399,0.9971,distinct
3089,signature_verification/full_forg/forgeries_3089_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3089/cf-3089-04.jpg,220x155,1029x659,0.3817,0.0029,0.9962,same image (re-encoded)
3933,signature_verification/full_forg/forgeries_3933_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3933/cf-3933-15.jpg,220x155,936x564,0.6694,0.0122,0.9922,distinct
134,signature_verification/full_org/original_134_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/134/c-134-06.jpg,220x155,536x427,0.4131,0.0103,0.999,distinct
1454,signature_verification/full_forg/forgeries_1454_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1454/cf-1454-04.jpg,220x155,743x613,1.1559,0.0453,0.9944,distinct
3723,signature_verification/full_forg/forgeries_3723_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3723/cf-3723-12.jpg,220x155,1242x491,0.4482,0.0083,0.9912,same image (re-encoded)
3351,signature_verification/full_forg/forgeries_3351_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3351/cf-3351-15.jpg,220x155,1290x675,0.9598,0.0371,0.993,distinct
116,signature_verification/full_org/original_116_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/116/c-116-04.jpg,220x155,1210x553,0.729,0.026,0.9934,distinct
3677,signature_verification/full_org/original_3677_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3677/c-3677-11.jpg,220x155,1060x396,1.1011,0.0357,0.9982,distinct
727,signature_verification/full_forg/forgeries_727_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/727/cf-727-18.jpg,220x155,1116x678,0.4078,0.0063,0.9941,same image (re-encoded)
1757,signature_verification/full_org/original_1757_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1757/c-1757-08.jpg,220x155,815x543,0.4123,0.0009,0.9976,same image (re-encoded)
39,signature_verification/full_org/original_39_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/039/c-039-22.jpg,220x155,1113x489,0.7747,0.0277,0.989,distinct
206,signature_verification/full_forg/forgeries_206_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/206/cf-206-21.jpg,220x155,1026x492,0.6437,0.0206,0.9972,distinct
2314,signature_verification/full_org/original_2314_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2314/c-2314-07.jpg,220x155,878x460,0.9899,0.0367,0.9881,distinct
3794,signature_verification/full_forg/forgeries_3794_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3794/cf-3794-23.jpg,220x155,676x685,0.6835,0.0253,0.996,distinct
3526,signature_verification/full_forg/forgeries_3526_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3526/cf-3526-19.jpg,220x155,1068x835,0.503,0.0073,0.9956,same image (re-encoded)
2628,signature_verification/full_forg/forgeries_2628_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2628/cf-2628-03.jpg,220x155,926x456,0.543,0.0164,0.9974,distinct
1648,signature_verification/full_forg/forgeries_1648_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1648/cf-1648-12.jpg,220x155,1140x651,0.8523,0.0316,0.9884,distinct
633,signature_verification/full_forg/forgeries_633_3.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/633/cf-633-07.jpg,220x155,1076x538,21.9034,0.9513,0.9949,distinct
2637,signature_verification/full_org/original_2637_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2637/c-2637-10.jpg,220x155,1096x415,0.7357,0.0244,0.9977,distinct
788,signature_verification/full_org/original_788_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/788/c-788-11.jpg,220x155,1150x641,1.5219,0.054,0.9924,distinct
546,signature_verification/full_org/original_546_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/546/c-546-22.jpg,220x155,1031x633,0.7271,0.0254,0.9974,distinct
2560,signature_verification/full_forg/forgeries_2560_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2560/cf-2560-20.jpg,220x155,1112x789,0.5201,0.007,0.9953,same image (re-encoded)
1302,signature_verification/full_forg/forgeries_1302_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1302/cf-1302-23.jpg,220x155,1331x407,0.5231,0.0175,0.9931,distinct
3228,signature_verification/full_forg/forgeries_3228_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3228/cf-3228-15.jpg,220x155,679x486,0.6998,0.0272,0.9948,distinct
1459,signature_verification/full_org/original_1459_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1459/c-1459-06.jpg,220x155,1157x678,0.5999,0.0186,0.9867,distinct
1921,signature_verification/full_org/original_1921_3.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1921/c-1921-03.jpg,220x155,1070x397,9.0242,0.0564,0.9968,distinct
3422,signature_verification/full_forg/forgeries_3422_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3422/cf-3422-08.jpg,220x155,603x599,0.3828,0.0032,0.9953,same image (re-encoded)
99,signature_verification/full_forg/forgeries_99_14.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/099/cf-099-20.jpg,220x155,926x852,1.5215,0.0471,0.9835,distinct
1121,signature_verification/full_org/original_1121_4.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1121/c-1121-18.jpg,220x155,859x593,13.9982,0.9537,0.995,distinct
1473,signature_verification/full_org/original_1473_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1473/c-1473-11.jpg,220x155,718x617,0.5076,0.0167,0.9976,distinct
322,signature_verification/full_org/original_322_7.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/322/c-322-05.jpg,220x155,922x570,33.2288,0.9927,0.9961,distinct
2841,signature_verification/full_org/original_2841_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2841/c-2841-24.jpg,220x155,680x350,0.4627,0.0091,0.9983,same image (re-encoded)
3204,signature_verification/full_forg/forgeries_3204_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3204/cf-3204-10.jpg,220x155,1177x498,0.5493,0.0165,0.9971,distinct
2126,signature_verification/full_org/original_2126_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2126/c-2126-07.jpg,220x155,1049x666,0.8667,0.0314,0.986,distinct
3092,signature_verification/full_forg/forgeries_3092_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3092/cf-3092-16.jpg,220x155,697x591,0.4581,0.0011,0.9979,same image (re-encoded)
429,signature_verification/full_forg/forgeries_429_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/429/cf-429-02.jpg,220x155,685x609,0.5517,0.0129,0.9984,distinct
434,signature_verification/full_org/original_434_3.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/434/c-434-11.jpg,220x155,998x386,10.9931,0.1114,0.9937,distinct
3557,signature_verification/full_org/original_3557_7.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3557/c-3557-21.jpg,220x155,917x543,43.0101,0.9992,0.9963,distinct
217,signature_verification/full_org/original_217_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/217/c-217-18.jpg,220x155,982x513,0.8018,0.0307,0.9907,distinct
283,signature_verification/full_org/original_283_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/283/c-283-23.jpg,220x155,628x340,0.2044,0.0001,0.9989,same image (re-encoded)
1923,signature_verification/full_forg/forgeries_1923_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1923/cf-1923-13.jpg,220x155,988x576,0.725,0.0192,0.9983,distinct
2431,signature_verification/full_org/original_2431_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2431/c-2431-14.jpg,220x155,735x576,1.0538,0.0406,0.997,distinct
3372,signature_verification/full_forg/forgeries_3372_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3372/cf-3372-11.jpg,220x155,1032x502,0.6475,0.0165,0.9981,distinct
2201,signature_verification/full_org/original_2201_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2201/c-2201-06.jpg,220x155,870x484,1.0706,0.043,0.9947,distinct
405,signature_verification/full_forg/forgeries_405_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/405/cf-405-08.jpg,220x155,1710x445,0.4123,0.0094,0.9936,same image (re-encoded)
3226,signature_verification/full_org/original_3226_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3226/c-3226-07.jpg,220x155,852x569,0.6661,0.0262,0.9959,distinct
3388,signature_verification/full_org/original_3388_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3388/c-3388-14.jpg,220x155,1036x487,0.8846,0.0291,0.9966,distinct
3303,signature_verification/full_forg/forgeries_3303_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3303/cf-3303-15.jpg,220x155,881x503,0.6571,0.0248,0.9948,distinct
2721,signature_verification/full_forg/forgeries_2721_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2721/cf-2721-30.jpg,220x155,868x299,0.2428,0.0001,0.9987,same image (re-encoded)
2051,signature_verification/full_org/original_2051_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2051/c-2051-24.jpg,220x155,780x510,0.8228,0.0223,0.998,distinct
2513,signature_verification/full_org/original_2513_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2513/c-2513-01.jpg,220x155,1071x628,0.8831,0.0325,0.9875,distinct
3600,signature_verification/full_org/original_3600_11.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3600/c-3600-19.jpg,220x155,738x523,35.8292,1.0,0.9865,distinct
3412,signature_verification/full_forg/forgeries_3412_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3412/cf-3412-13.jpg,220x155,869x665,0.6672,0.025,0.9971,distinct
1520,signature_verification/full_forg/forgeries_1520_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1520/cf-1520-30.jpg,220x155,560x612,0.2491,0.0003,0.9984,same image (re-encoded)
3193,signature_verification/full_forg/forgeries_3193_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3193/cf-3193-28.jpg,220x155,1091x522,1.2286,0.0457,0.9949,distinct
3694,signature_verification/full_forg/forgeries_3694_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3694/cf-3694-24.jpg,220x155,842x684,0.6177,0.0038,0.9967,same image (re-encoded)
1663,signature_verification/full_forg/forgeries_1663_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1663/cf-1663-22.jpg,220x155,719x706,0.3673,0.0018,0.9974,same image (re-encoded)
1328,signature_verification/full_forg/forgeries_1328_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1328/cf-1328-29.jpg,220x155,866x611,1.107,0.0401,0.9966,distinct
3262,signature_verification/full_forg/forgeries_3262_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3262/cf-3262-11.jpg,220x155,702x526,0.4113,0.0068,0.9921,same image (re-encoded)
710,signature_verification/full_forg/forgeries_710_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/710/cf-710-25.jpg,220x155,901x1039,1.5033,0.0515,0.9844,distinct
3085,signature_verification/full_org/original_3085_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3085/c-3085-07.jpg,220x155,579x316,0.141,0.0004,0.9964,same image (re-encoded)
3565,signature_verification/full_forg/forgeries_3565_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3565/cf-3565-23.jpg,220x155,627x382,0.2607,0.0048,0.9982,same image (re-encoded)
572,signature_verification/full_forg/forgeries_572_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/572/cf-572-08.jpg,220x155,923x1141,0.444,0.0109,0.9919,distinct
3419,signature_verification/full_forg/forgeries_3419_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3419/cf-3419-06.jpg,220x155,894x686,0.8909,0.0361,0.9952,distinct
641,signature_verification/full_forg/forgeries_641_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/641/cf-641-15.jpg,220x155,928x603,1.2156,0.0446,0.9966,distinct
418,signature_verification/full_org/original_418_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/418/c-418-17.jpg,220x155,1250x697,1.6738,0.055,0.9933,distinct
41,signature_verification/full_forg/forgeries_41_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/041/cf-041-07.jpg,220x155,891x532,0.4673,0.0011,0.9979,same image (re-encoded)
1799,signature_verification/full_org/original_1799_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1799/c-1799-01.jpg,220x155,1407x576,1.4962,0.05,0.9922,distinct
3886,signature_verification/full_org/original_3886_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3886/c-3886-05.jpg,220x155,953x267,0.7007,0.0223,0.998,distinct
1105,signature_verification/full_org/original_1105_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1105/c-1105-03.jpg,220x155,884x812,1.0122,0.0414,0.9932,distinct
3931,signature_verification/full_forg/forgeries_3931_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3931/cf-3931-08.jpg,220x155,1100x523,0.7933,0.03,0.9943,distinct
1632,signature_verification/full_org/original_1632_11.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1632/c-1632-01.jpg,220x155,915x448,24.3679,0.9982,0.9977,distinct
558,signature_verification/full_forg/forgeries_558_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/558/cf-558-21.jpg,220x155,1153x810,0.5533,0.0174,0.9893,distinct
3228,signature_verification/full_forg/forgeries_3228_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3228/cf-3228-27.jpg,220x155,1026x513,0.6457,0.0163,0.9982,distinct
3114,signature_verification/full_forg/forgeries_3114_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3114/cf-3114-04.jpg,220x155,826x586,0.7969,0.0307,0.9958,distinct
1551,signature_verification/full_forg/forgeries_1551_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1551/cf-1551-02.jpg,220x155,863x676,0.3565,0.0022,0.9964,same image (re-encoded)
3511,signature_verification/full_forg/forgeries_3511_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3511/cf-3511-07.jpg,220x155,742x512,0.3712,0.0006,0.9979,same image (re-encoded)
3448,signature_verification/full_forg/forgeries_3448_15.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3448/cf-3448-29.jpg,220x155,579x304,35.7269,1.0,0.9989,distinct
3306,signature_verification/full_forg/forgeries_3306_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3306/cf-3306-12.jpg,220x155,770x415,0.517,0.0171,0.9983,distinct
1539,signature_verification/full_forg/forgeries_1539_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1539/cf-1539-15.jpg,220x155,834x695,1.0671,0.0383,0.9959,distinct
972,signature_verification/full_org/original_972_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/972/c-972-04.jpg,220x155,1051x318,0.3679,0.0008,0.9987,same image (re-encoded)
3885,signature_verification/full_forg/forgeries_3885_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3885/cf-3885-17.jpg,220x155,795x285,0.1866,0.0,0.9991,same image (re-encoded)
3158,signature_verification/full_org/original_3158_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3158/c-3158-13.jpg,220x155,821x723,0.493,0.0112,0.9924,distinct
3613,signature_verification/full_org/original_3613_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3613/c-3613-06.jpg,220x155,897x470,0.5016,0.0075,0.9989,same image (re-encoded)
158,signature_verification/full_org/original_158_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/158/c-158-02.jpg,220x155,858x574,1.2736,0.047,0.9972,distinct
1503,signature_verification/full_forg/forgeries_1503_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1503/cf-1503-01.jpg,220x155,732x528,0.8982,0.0339,0.9934,distinct
2406,signature_verification/full_org/original_2406_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2406/c-2406-24.jpg,220x155,863x585,0.3397,0.0009,0.9975,same image (re-encoded)
148,signature_verification/full_forg/forgeries_148_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/148/cf-148-07.jpg,220x155,1242x746,0.5097,0.0174,0.9808,distinct
3879,signature_verification/full_org/original_3879_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3879/c-3879-18.jpg,220x155,943x554,0.7866,0.0301,0.9958,distinct
2857,signature_verification/full_forg/forgeries_2857_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2857/cf-2857-07.jpg,220x155,749x479,0.2755,0.0002,0.9982,same image (re-encoded)
671,signature_verification/full_forg/forgeries_671_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/671/cf-671-28.jpg,220x155,1103x260,0.4721,0.0117,0.9987,distinct
3691,signature_verification/full_org/original_3691_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3691/c-3691-15.jpg,220x155,967x502,0.6753,0.0266,0.9922,distinct
2138,signature_verification/full_org/original_2138_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2138/c-2138-10.jpg,220x155,1371x558,1.258,0.0452,0.9951,distinct
1611,signature_verification/full_forg/forgeries_1611_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1611/cf-1611-25.jpg,220x155,1138x316,0.8294,0.0265,0.9894,distinct
1727,signature_verification/full_forg/forgeries_1727_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1727/cf-1727-23.jpg,220x155,1250x653,0.9765,0.036,0.9965,distinct
1875,signature_verification/full_forg/forgeries_1875_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/1875/cf-1875-17.jpg,220x155,901x774,1.5404,0.0528,0.9916,distinct
2326,signature_verification/full_forg/forgeries_2326_13.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2326/cf-2326-05.jpg,220x155,694x550,1.0157,0.0379,0.9976,distinct
2095,signature_verification/full_org/original_2095_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2095/c-2095-09.jpg,220x155,901x599,0.9372,0.0346,0.9964,distinct
444,signature_verification/full_forg/forgeries_444_5.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/444/cf-444-14.jpg,220x155,1056x674,1.1869,0.0407,0.9925,distinct
2108,signature_verification/full_org/original_2108_9.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/2108/c-2108-17.jpg,220x155,738x322,0.1945,0.0001,0.9984,same image (re-encoded)
985,signature_verification/full_org/original_985_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/985/c-985-06.jpg,220x155,899x593,0.9633,0.0378,0.9959,distinct
3744,signature_verification/full_forg/forgeries_3744_1.jpg,SignatureGPDSSyntheticOffLine4000/firmasSINTESISmanuscritas/3744/cf-3744-30.jpg,220x155,953x480,0.9488,0.0338,0.9971,distinct
